English,Persian,Context,File
REPORTS,گزارش ها,,"templates/accounting/dashboard.html:275, templates/accounting/dashboard.html:611"
"Balance Sheet, Income Statement, Cash Flow, Trial Balance with PDF/Excel export",ترازنامه، صورت درآمد، جریان نقدی، تراز آزمایشی با صادرات PDF/Excel,,templates/accounting/dashboard.html:282
ACCOUNTS,حساب ها,,"templates/accounting/dashboard.html:303, templates/accounting/dashboard.html:527"
"Manage account structure, view balances, Assets, Liabilities, Equity, Revenue, Expenses",مدیریت ساختار حساب، مشاهده مانده ها، دارایی ها، بدهی ها، حقوق صاحبان سهام، درآمد، هزینه ها,,templates/accounting/dashboard.html:310
ENTRIES,ورودی ها,,templates/accounting/dashboard.html:331
Journal Entries,مدخل های مجله,,"templates/accounting/dashboard.html:335, templates/accounting/journal_entries.html:5, templates/accounting/journal_entries.html:16 ... (6 more)"
"View and manage all journal entries, automatic double-entry bookkeeping transactions",مشاهده و مدیریت تمام ورودی های مجله، تراکنش های حسابداری دو ورودی خودکار,,templates/accounting/dashboard.html:338
LEDGER,LEDGER,,templates/accounting/dashboard.html:359
"Complete transaction history, account movements, and audit trail for all entries",تاریخچه تراکنش کامل، حرکات حساب، و دنباله حسابرسی برای همه ورودی ها,,templates/accounting/dashboard.html:366
PAYABLES,قابل پرداخت,,templates/accounting/dashboard.html:387
Bills & Payables,قبوض و پرداختنی ها,,templates/accounting/dashboard.html:391
"Manage supplier bills, track payments, aging reports, and outstanding payables",صورت‌حساب‌های تامین‌کننده، پیگیری پرداخت‌ها، گزارش‌های قدیمی و بدهی‌های معوق را مدیریت کنید,,templates/accounting/dashboard.html:394
SUPPLIERS,تامین کنندگان,,templates/accounting/dashboard.html:415
"View supplier accounting details, statements, and payment history",جزئیات حسابداری تامین کننده، بیانیه ها و تاریخچه پرداخت را مشاهده کنید,,templates/accounting/dashboard.html:422
INVOICES,فاکتورها,,templates/accounting/dashboard.html:443
Invoices & Receivables,فاکتورها و مطالبات,,templates/accounting/dashboard.html:447
"Manage customer invoices, track payments, aging reports, and credit memos",فاکتورهای مشتری را مدیریت کنید، پرداخت ها را پیگیری کنید، گزارش های قدیمی و یادداشت های اعتباری,,templates/accounting/dashboard.html:450
CUSTOMERS,مشتریان,,templates/accounting/dashboard.html:471
"View customer accounting details, invoices, statements, and credit limits",جزئیات حسابداری مشتری، فاکتورها، صورتحساب ها و محدودیت های اعتباری را مشاهده کنید,,templates/accounting/dashboard.html:478
RECEIVABLES,مطالبات,,templates/accounting/dashboard.html:499
"Track customer invoices, payments due, and manage outstanding receivables",فاکتورهای مشتری، پرداخت های سررسید را پیگیری کنید و مطالبات معوق را مدیریت کنید,,templates/accounting/dashboard.html:506
"Manage bank accounts, track balances, reconciliation status, and transactions",مدیریت حساب های بانکی، ردیابی مانده ها، وضعیت آشتی و تراکنش ها,,templates/accounting/dashboard.html:534
BANKING,بانکداری,,templates/accounting/dashboard.html:555
"Match bank statements with ledger entries, reconcile accounts automatically",صورت‌حساب‌های بانکی را با ورودی‌های دفتر مطابقت دهید، حساب‌ها را به‌طور خودکار تطبیق دهید,,templates/accounting/dashboard.html:562
ASSETS,دارایی ها,,"templates/accounting/dashboard.html:583, templates/accounting/financial_reports.html:54"
Fixed Assets,دارایی های ثابت,,"templates/accounting/dashboard.html:587, templates/accounting/financial_reports.html:72, templates/accounting/fixed_assets/detail.html:5 ... (5 more)"
"Manage fixed assets register, track depreciation, asset disposal, and book values",مدیریت ثبت دارایی های ثابت، پیگیری استهلاک، دفع دارایی و ارزش دفتری,,templates/accounting/dashboard.html:590
"View projected depreciation for all assets, export to PDF/Excel for planning",مشاهده استهلاک پیش بینی شده برای همه دارایی ها، صادرات به PDF/Excel برای برنامه ریزی,,templates/accounting/dashboard.html:618
SETTINGS,تنظیمات,,templates/accounting/dashboard.html:640
"Manage fiscal year, accounting periods, currencies, and system preferences",مدیریت سال مالی، دوره های حسابداری، ارزها و ترجیحات سیستم,,templates/accounting/dashboard.html:647
Active & Synchronized,فعال و همگام شده,,templates/accounting/dashboard.html:699
"All financial transactions are automatically recorded using double-entry bookkeeping. Data is synchronized in real-time from sales, purchases, and expenses.",همه تراکنش های مالی به صورت خودکار با استفاده از حسابداری دوبار ثبت می شوند. داده ها در زمان واقعی از فروش، خرید و هزینه ها هماهنگ می شوند.,,templates/accounting/dashboard.html:706
Auto Journal Entries,ورودی های ژورنال خودکار,,templates/accounting/dashboard.html:713
Real-time Sync,همگام سازی در زمان واقعی,,templates/accounting/dashboard.html:719
Need Help?,به کمک نیاز دارید؟,,templates/accounting/dashboard.html:801
Check our documentation or contact support for assistance with accounting features.,اسناد ما را بررسی کنید یا برای کمک در مورد ویژگی های حسابداری با پشتیبانی تماس بگیرید.,,templates/accounting/dashboard.html:802
This will initialize the accounting system for your shop. This includes creating the chart of accounts and configuring double-entry bookkeeping. Continue?,با این کار سیستم حسابداری فروشگاه شما راه اندازی می شود. این شامل ایجاد نمودار حساب ها و پیکربندی حسابداری دوبار ورود است. ادامه دهید؟,,templates/accounting/dashboard.html:832
Initializing...,در حال شروع...,,templates/accounting/dashboard.html:836
Export as Excel,صادرات به عنوان اکسل,,templates/accounting/dashboard.html:917
Editable spreadsheet format,فرمت صفحه گسترده قابل ویرایش,,templates/accounting/dashboard.html:918
Balance Sheet,ترازنامه,,templates/accounting/financial_reports.html:46
As of,از,,"templates/accounting/financial_reports.html:47, templates/accounting/reports/aged_payables.html:17, templates/accounting/reports/aged_receivables.html:17"
LIABILITIES,تعهدات,,templates/accounting/financial_reports.html:95
Dispose Asset,دور ریختن دارایی,,"templates/accounting/fixed_assets/detail.html:49, templates/accounting/fixed_assets/disposal_form.html:5, templates/accounting/fixed_assets/disposal_form.html:217 ... (1 more)"
Disposed,دور انداخته شد,,"templates/accounting/fixed_assets/detail.html:69, templates/accounting/fixed_assets/list.html:233"
Fully Depreciated,کاملا مستهلک شده,,"templates/accounting/fixed_assets/detail.html:73, templates/accounting/fixed_assets/list.html:237"
Accumulated Depreciation,استهلاک انباشته,,"templates/accounting/fixed_assets/detail.html:95, templates/accounting/fixed_assets/detail.html:238, templates/accounting/fixed_assets/detail.html:311 ... (4 more)"
Department,بخش,,templates/accounting/fixed_assets/detail.html:144
Vendor,فروشنده,,templates/accounting/fixed_assets/detail.html:177
Method,روش,,templates/accounting/fixed_assets/detail.html:205
Useful Life,زندگی مفید,,templates/accounting/fixed_assets/detail.html:209
months,ماه ها,,"templates/accounting/fixed_assets/detail.html:210, templates/accounting/reports/depreciation_schedule.html:100"
Depreciation Start,شروع استهلاک,,templates/accounting/fixed_assets/detail.html:213
Monthly Depreciation,استهلاک ماهانه,,templates/accounting/fixed_assets/detail.html:221
General Ledger Accounts,حساب های دفتر کل,,"templates/accounting/fixed_assets/detail.html:230, templates/accounting/fixed_assets/form.html:259"
Depreciation Expense,هزینه استهلاک,,templates/accounting/fixed_assets/detail.html:242
Disposal Method,روش دفع,,templates/accounting/fixed_assets/detail.html:261
Gain/Loss,سود / ضرر,,templates/accounting/fixed_assets/detail.html:269
Buyer,خریدار,,templates/accounting/fixed_assets/detail.html:280
No depreciation has been recorded yet.,هنوز استهلاکی ثبت نشده است.,,templates/accounting/fixed_assets/detail.html:340
Projected Depreciation (Next 12 Months),استهلاک پیش بینی شده (12 ماه آینده),,templates/accounting/fixed_assets/detail.html:349
Dispose Fixed Asset,دارایی های ثابت را از بین ببرید,,templates/accounting/fixed_assets/disposal_form.html:16
Dispose,در معرض قرار دادن,,templates/accounting/fixed_assets/disposal_form.html:45
Asset to Dispose,دارایی برای دفع,,templates/accounting/fixed_assets/disposal_form.html:56
Disposing this asset will:,دفع این دارایی:,,templates/accounting/fixed_assets/disposal_form.html:198
Mark the asset as disposed and prevent further depreciation,دارایی را به عنوان واگذار شده علامت گذاری کنید و از استهلاک بیشتر جلوگیری کنید,,templates/accounting/fixed_assets/disposal_form.html:200
Create journal entries to remove the asset from the books,برای حذف دارایی از کتاب ها، مدخل های مجله ایجاد کنید,,templates/accounting/fixed_assets/disposal_form.html:201
Calculate and record any gain or loss on disposal,سود یا زیان ناشی از واگذاری را محاسبه و ثبت کنید,,templates/accounting/fixed_assets/disposal_form.html:202
This action cannot be easily undone,این عمل به راحتی قابل برگشت نیست,,templates/accounting/fixed_assets/disposal_form.html:203
Register Asset,ثبت دارایی,,templates/accounting/fixed_assets/form.html:349
Fixed Assets Register,ثبت دارایی های ثابت,,templates/accounting/fixed_assets/list.html:16
Register New Asset,ثبت دارایی جدید,,templates/accounting/fixed_assets/list.html:47
Asset,دارایی,,templates/accounting/fixed_assets/list.html:158
Register Your First Asset,اولین دارایی خود را ثبت کنید,,templates/accounting/fixed_assets/list.html:278
No payments have been recorded for this invoice yet.,هنوز هیچ پرداختی برای این فاکتور ثبت نشده است.,,templates/accounting/invoices/detail.html:354
Add items and services to this invoice,موارد و خدمات را به این فاکتور اضافه کنید,,templates/accounting/invoices/form.html:422
Aged Receivables,مطالبات قدیمی,,templates/accounting/invoices/list.html:40
No journal entries,بدون نوشته های مجله,,"templates/accounting/journal_entries.html:120, templates/accounting/journal_entries/list.html:301"
Are you sure you want to post this journal entry to the general ledger? This action cannot be undone.,آیا مطمئن هستید که می خواهید این مدخل مجله را در دفتر کل پست کنید؟ این عمل قابل بازگشت نیست.,,templates/accounting/journal_entries/confirm_post.html:43
"Once posted, this entry cannot be edited or deleted. You can only reverse it by creating a reversing entry.",پس از ارسال، این نوشته قابل ویرایش یا حذف نیست. فقط با ایجاد یک ورودی معکوس می توانید آن را معکوس کنید.,,templates/accounting/journal_entries/confirm_post.html:78
I have verified that all amounts are correct,من تأیید کردم که همه مقادیر صحیح است,,templates/accounting/journal_entries/confirm_post.html:91
I have verified that all accounts are correct,من تأیید کرده ام که همه حساب ها درست هستند,,templates/accounting/journal_entries/confirm_post.html:99
I confirm the accounting period is correct,من تأیید می کنم که دوره حسابداری درست است,,templates/accounting/journal_entries/confirm_post.html:107
Post to General Ledger,ارسال به دفتر کل,,templates/accounting/journal_entries/confirm_post.html:130
Journal Entry,ورودی مجله,,"templates/accounting/journal_entries/detail.html:5, templates/accounting/journal_entries/detail.html:16"
Post to GL,ارسال به GL,,templates/accounting/journal_entries/detail.html:59
Reverse Entry,ورود معکوس,,templates/accounting/journal_entries/detail.html:68
Posted to General Ledger,ارسال شده به دفتر کل,,templates/accounting/journal_entries/detail.html:218
Draft - Not Posted,پیش نویس - ارسال نشده است,,templates/accounting/journal_entries/detail.html:220
Locked:,قفل شده:,,templates/accounting/journal_entries/detail.html:225
This entry is locked and cannot be modified,این ورودی قفل شده است و نمی توان آن را تغییر داد,,templates/accounting/journal_entries/detail.html:226
Metadata,فراداده,,templates/accounting/journal_entries/detail.html:239
Ledger,دفتر کل,,templates/accounting/journal_entries/detail.html:259
Parent Entry,ورود والدین,,"templates/accounting/journal_entries/detail.html:266, templates/accounting/journal_entries/detail.html:285"
Edit Journal Entry,ویرایش مدخل مجله,,"templates/accounting/journal_entries/form.html:7, templates/accounting/journal_entries/form.html:35"
Must be $0.00,باید 0.00 دلار باشد,,templates/accounting/journal_entries/form.html:212
Debits and credits must be equal. Please adjust the amounts.,بدهی و اعتبار باید برابر باشد. لطفا مقادیر را تنظیم کنید.,,templates/accounting/journal_entries/form.html:232
You must have at least one line item.,شما باید حداقل یک مورد خط داشته باشید.,,templates/accounting/journal_entries/form.html:364
New Entry,ورودی جدید,,"templates/accounting/journal_entries/list.html:40, templates/accounting/journal_entries/list.html:311"
Reversed,معکوس شد,,templates/accounting/journal_entries/list.html:78
Post,ارسال کنید,,templates/accounting/journal_entries/list.html:194
Reverse,معکوس,,templates/accounting/journal_entries/list.html:203
Aged Payables Report,گزارش بدهی های مسن,,"templates/accounting/reports/aged_payables.html:5, templates/accounting/reports/aged_payables.html:14"
bill(s),صورت حساب,,templates/accounting/reports/aged_payables.html:145
TOTAL,TOTAL,,"templates/accounting/reports/aged_payables.html:204, templates/accounting/reports/aged_receivables.html:204"
No unpaid bills,بدون صورتحساب پرداخت نشده,,templates/accounting/reports/aged_payables.html:234
There are no unpaid bills to display in the aged payables report.,هیچ صورت حساب پرداخت نشده ای برای نمایش در گزارش بدهی های قدیمی وجود ندارد.,,templates/accounting/reports/aged_payables.html:237
About This Report,درباره این گزارش,,"templates/accounting/reports/aged_payables.html:259, templates/accounting/reports/aged_receivables.html:259, templates/accounting/reports/bank_reconciliation.html:317"
This report shows amounts owed to suppliers grouped by how many days past due they are. Use this report to:,این گزارش مبالغ بدهی به تامین کنندگان را بر اساس چند روز سررسید آنها گروه بندی می کند. از این گزارش برای موارد زیر استفاده کنید:,,templates/accounting/reports/aged_payables.html:263
Identify overdue payments that need immediate attention,پرداخت های معوق که نیاز به توجه فوری دارند را شناسایی کنید,,templates/accounting/reports/aged_payables.html:266
Monitor cash flow and payment obligations,نظارت بر جریان نقدی و تعهدات پرداخت,,templates/accounting/reports/aged_payables.html:267
Maintain good supplier relationships by paying on time,با پرداخت به موقع، روابط خوب با تامین کنندگان را حفظ کنید,,templates/accounting/reports/aged_payables.html:268
Plan for upcoming cash requirements,برای نیازهای نقدی آینده برنامه ریزی کنید,,templates/accounting/reports/aged_payables.html:269
Aged Receivables Report,گزارش مطالبات مسن,,"templates/accounting/reports/aged_receivables.html:5, templates/accounting/reports/aged_receivables.html:14"
invoice(s),فاکتور(های),,templates/accounting/reports/aged_receivables.html:145
No unpaid invoices,بدون فاکتور پرداخت نشده,,templates/accounting/reports/aged_receivables.html:234
There are no unpaid invoices to display in the aged receivables report.,هیچ فاکتور پرداخت نشده ای برای نمایش در گزارش دریافتنی های قدیمی وجود ندارد.,,templates/accounting/reports/aged_receivables.html:237
This report shows amounts owed by customers grouped by how many days past due they are. Use this report to:,این گزارش مبالغ بدهی مشتریان را بر اساس چند روز سررسید آنها گروه بندی می کند. از این گزارش برای موارد زیر استفاده کنید:,,templates/accounting/reports/aged_receivables.html:263
Identify overdue invoices that need immediate follow-up,فاکتورهای معوق که نیاز به پیگیری فوری دارند را شناسایی کنید,,templates/accounting/reports/aged_receivables.html:266
Monitor cash flow and expected receipts,نظارت بر جریان نقدی و دریافت های مورد انتظار,,templates/accounting/reports/aged_receivables.html:267
Track customer payment patterns and creditworthiness,الگوهای پرداخت و اعتبار مشتری را دنبال کنید,,templates/accounting/reports/aged_receivables.html:268
Plan collection efforts and cash requirements,تلاش های جمع آوری و نیازهای نقدی را برنامه ریزی کنید,,templates/accounting/reports/aged_receivables.html:269
Beginning Balance,تعادل ابتدایی,,"templates/accounting/reports/bank_reconciliation.html:108, templates/accounting/reports/bank_reconciliation.html:149"
Add: Deposits,افزودن: سپرده ها,,templates/accounting/reports/bank_reconciliation.html:114
Less: Withdrawals,کمتر: برداشت ها,,templates/accounting/reports/bank_reconciliation.html:120
Add/Less: Adjustments,افزودن/کمتر: تنظیمات,,templates/accounting/reports/bank_reconciliation.html:127
Ending Balance,تعادل پایانی,,"templates/accounting/reports/bank_reconciliation.html:134, templates/accounting/reports/bank_reconciliation.html:155"
Book Balance,موجودی کتاب,,templates/accounting/reports/bank_reconciliation.html:145
Total Withdrawals:,کل برداشت ها:,,templates/accounting/reports/bank_reconciliation.html:283
"This report shows the completed bank reconciliation, including all reconciled transactions and the final balance comparison between the bank statement and your accounting records.",این گزارش تطبیق بانکی تکمیل شده، شامل تمام تراکنش های تطبیق شده و مقایسه مانده نهایی بین صورت حساب بانکی و سوابق حسابداری شما را نشان می دهد.,,templates/accounting/reports/bank_reconciliation.html:321
Note: This reconciliation has a variance. Review the transactions and consider creating adjusting entries if needed.,توجه: این آشتی دارای یک واریانس است. تراکنش ها را مرور کنید و در صورت نیاز، ورودی های تنظیمی ایجاد کنید.,,templates/accounting/reports/bank_reconciliation.html:325
Depreciation Schedule Report,گزارش جدول زمانبندی استهلاک,,"templates/accounting/reports/depreciation_schedule.html:5, templates/accounting/reports/depreciation_schedule.html:14"
Projected depreciation for active fixed assets,استهلاک پیش بینی شده برای دارایی های ثابت فعال,,templates/accounting/reports/depreciation_schedule.html:17
Assets with Projections,دارایی ها با پیش بینی ها,,templates/accounting/reports/depreciation_schedule.html:75
Method:,روش:,,templates/accounting/reports/depreciation_schedule.html:97
Remaining:,باقی مانده:,,templates/accounting/reports/depreciation_schedule.html:100
No projected depreciation periods,بدون دوره استهلاک پیش بینی شده,,templates/accounting/reports/depreciation_schedule.html:181
There are no active fixed assets with remaining depreciation.,هیچ دارایی ثابت فعالی با استهلاک باقیمانده وجود ندارد.,,templates/accounting/reports/depreciation_schedule.html:195
Add Fixed Asset,اضافه کردن دارایی ثابت,,templates/accounting/reports/depreciation_schedule.html:200
Tax ID,شناسه مالیاتی,,templates/accounting/suppliers/accounting_detail.html:78
1099 Vendor,1099 فروشنده,,templates/accounting/suppliers/accounting_detail.html:82
Try adjusting your search or filter criteria.,معیارهای جستجو یا فیلتر خود را تنظیم کنید.,,templates/accounting/suppliers/list.html:213
Period Bills,صورت حساب های دوره,,templates/accounting/suppliers/statement.html:155
Closing Balance,تراز پایانی,,"templates/accounting/suppliers/statement.html:167, templates/accounting/suppliers/statement.html:277"
This area is for platform administrators only. All login attempts are logged and monitored.,این منطقه فقط برای مدیران پلتفرم است. تمام تلاش‌های ورود به سیستم ثبت و نظارت می‌شوند.,,"templates/admin/admin_login.html:315, templates/admin/login.html:315"
View system audit trail and security events,مشاهده مسیر حسابرسی سیستم و رویدادهای امنیتی,,"templates/admin/dashboard.html:171, templates/admin/dashboard_modern.html:538"
new today,امروز جدید,,"templates/admin/dashboard.html:206, templates/admin/dashboard.html:498, templates/admin/dashboard_modern.html:573"
Loading recent activity...,در حال بارگیری فعالیت اخیر...,,templates/admin/dashboard.html:338
No recent activity,هیچ فعالیت اخیری وجود ندارد,,templates/admin/dashboard.html:581
Unable to load activity,بارگیری فعالیت ممکن نیست,,templates/admin/dashboard.html:619
Healthy,سالم,,templates/admin/dashboard_modern.html:626
%(count)s new in last 30 days,%(count)s جدید در 30 روز گذشته,,templates/admin/dashboard_old_backup.html:235
%(count)s new today,%(count)s امروز جدید است,,templates/admin/dashboard_old_backup.html:244
Database & System Management,پایگاه داده و مدیریت سیستم,,templates/admin/login.html:260
Resource Limits,محدودیت منابع,,templates/admin/subscription_plan_form.html:86
User Limit,محدودیت کاربر,,templates/admin/subscription_plan_form.html:90
Storage Limit (GB),محدودیت فضای ذخیره سازی (گیگابایت),,templates/admin/subscription_plan_form.html:120
API Calls per Month,تماس‌های API در ماه,,templates/admin/subscription_plan_form.html:130
Successfully verified,با موفقیت تأیید شد,,templates/backups/dashboard.html:285
Weekly Backup Monitoring,نظارت هفتگی پشتیبان گیری,,templates/backups/weekly_backup_monitoring.html:4
You are viewing this account as a platform administrator. All actions are logged.,شما در حال مشاهده این حساب به عنوان یک سرپرست پلتفرم هستید. همه اقدامات ثبت شده است.,,templates/base.html:110
Main navigation,ناوبری اصلی,,templates/base.html:132
Today,امروز,,templates/core/audit/audit_log_explorer.html:58
The formatting automatically adapts based on your selected language. Switch to Persian to see Jalali calendar dates and Persian numerals.,قالب بندی به طور خودکار بر اساس زبان انتخابی شما سازگار می شود. برای دیدن تاریخ های تقویم جلالی و اعداد فارسی به فارسی بروید.,,templates/core/formatting_example.html:151
%(count)s transaction,%(count)s تراکنش,,templates/core/tenant_dashboard.html:65
"
        Welcome back, %(name)s! We're glad to see you again.
        ",خوش آمدید، %(name)s! خوشحالیم که دوباره شما را می بینیم.,,templates/core/translation_example.html:20
"
        You have %(counter)s item in your inventory.
        ",شما %(counter)s مورد در موجودی خود دارید.,,templates/core/translation_example.html:27
Try adjusting your search or filters,جستجو یا فیلترهای خود را تنظیم کنید,,templates/crm/customer_list.html:212
Too Many Requests,درخواست های خیلی زیاد,,"templates/errors/429.html:4, templates/errors/429.html:16"
You have made too many requests. Please wait a moment and try again.,شما درخواست های زیادی کرده اید. لطفاً یک لحظه صبر کنید و دوباره امتحان کنید.,,templates/errors/429.html:22
"This is a security measure to protect against automated attacks. If you believe this is an error, please contact support.",این یک اقدام امنیتی برای محافظت در برابر حملات خودکار است. اگر فکر می کنید این یک خطا است، لطفا با پشتیبانی تماس بگیرید.,,templates/errors/429.html:40
Go Back,به عقب برگرد,,"templates/errors/429.html:49, templates/errors/csrf_failure.html:51"
Home,صفحه اصلی,,templates/errors/429.html:52
CSRF Verification Failed,تأیید CSRF ناموفق بود,,"templates/errors/csrf_failure.html:4, templates/errors/csrf_failure.html:16"
What happened?,چه اتفاقی افتاد؟,,templates/errors/csrf_failure.html:32
Your request could not be processed because the security token was missing or invalid. This usually happens when:,درخواست شما قابل پردازش نیست زیرا کد امنیتی موجود نیست یا نامعتبر است. این معمولا زمانی اتفاق می افتد که:,,templates/errors/csrf_failure.html:36
Your session has expired,جلسه شما تمام شده است,,templates/errors/csrf_failure.html:39
You opened the form in multiple tabs,شما فرم را در چندین برگه باز کردید,,templates/errors/csrf_failure.html:40
Your browser cookies are disabled,کوکی های مرورگر شما غیرفعال هستند,,templates/errors/csrf_failure.html:41
Go to Home,به خانه بروید,,templates/errors/csrf_failure.html:56
Technical reason:,دلیل فنی:,,templates/errors/csrf_failure.html:62
Parent:,والدین:,,"templates/inventory/category_delete.html:46, templates/inventory/category_detail.html:33"
Cannot Delete Category,نمی توان دسته را حذف کرد,,templates/inventory/category_delete.html:69
"
                                    This category contains %(counter)s item. Please move or delete the item before deleting this category.
                                    ",این دسته شامل %(counter)s مورد است. لطفاً قبل از حذف این دسته، مورد را منتقل یا حذف کنید.,,templates/inventory/category_delete.html:75
This category has subcategories. Please delete or reassign the subcategories before deleting this category.,این دسته دارای زیرمجموعه هایی است. لطفاً قبل از حذف این دسته، زیرمجموعه ها را حذف یا دوباره اختصاص دهید.,,templates/inventory/category_delete.html:84
This action cannot be undone. The category will be permanently deleted.,این عمل قابل بازگشت نیست. دسته برای همیشه حذف خواهد شد.,,templates/inventory/category_delete.html:105
No description provided,هیچ توضیحی ارائه نشده است,,templates/inventory/category_detail.html:78
Subcategories,زیر مجموعه ها,,"templates/inventory/category_detail.html:89, templates/inventory/category_detail.html:198, templates/inventory/category_list.html:274"
Create a new product category with its organizational details.,یک دسته بندی محصول جدید با جزئیات سازمانی آن ایجاد کنید.,,templates/inventory/category_form.html:167
Title for search engines,عنوان برای موتورهای جستجو,,"templates/inventory/category_form.html:206, templates/inventory/category_form.html:418"
Description for search engines,توضیحات برای موتورهای جستجو,,"templates/inventory/category_form.html:207, templates/inventory/category_form.html:435"
Essential category details.,جزئیات دسته بندی ضروری,,templates/inventory/category_form.html:218
"e.g. Rings, Necklaces, Bracelets",به عنوان مثال انگشتر، گردنبند، دستبند,,templates/inventory/category_form.html:233
Provide a detailed description of this category.,شرح مفصلی از این دسته ارائه دهید.,,templates/inventory/category_form.html:271
Inactive categories are hidden from the store.,دسته‌های غیرفعال از فروشگاه پنهان می‌شوند.,,templates/inventory/category_form.html:291
Upload an image to represent this category.,یک تصویر برای نشان دادن این دسته آپلود کنید.,,templates/inventory/category_form.html:301
"Only PNG, JPG, and GIF files are supported",فقط فایل های PNG، JPG و GIF پشتیبانی می شوند,,templates/inventory/category_form.html:306
File size must be less than 10MB,حجم فایل باید کمتر از 10 مگابایت باشد,,templates/inventory/category_form.html:307
"PNG, JPG, GIF up to 10MB",PNG، JPG، GIF تا 10 مگابایت,,templates/inventory/category_form.html:327
URL and search engine optimization.,URL و بهینه سازی موتور جستجو,,templates/inventory/category_form.html:366
e.g. gold-engagement-rings,به عنوان مثال حلقه های نامزدی طلا,,templates/inventory/category_form.html:382
SEO Title (Optional),عنوان سئو (اختیاری),,templates/inventory/category_form.html:409
SEO Meta Description (Optional),توضیحات متا SEO (اختیاری),,templates/inventory/category_form.html:427
Search Engine Snippet Preview,پیش نمایش قطعه موتور جستجو,,templates/inventory/category_form.html:454
Manage your jewelry product categories with hierarchical organization,دسته بندی محصولات جواهرات خود را با سازماندهی سلسله مراتبی مدیریت کنید,,templates/inventory/category_list.html:45
subcategories,زیر مجموعه ها,,templates/inventory/category_list.html:233
Try adjusting your search terms.,سعی کنید عبارات جستجوی خود را تنظیم کنید.,,templates/inventory/category_list.html:317
MAIN CATEGORIES,دسته بندی های اصلی,,templates/inventory/category_list_new.html:102
Subcategories:,زیر مجموعه ها:,,templates/inventory/category_list_new.html:189
Icon:,نماد:,,templates/inventory/category_list_new.html:225
Subcategories of,زیر مجموعه های,,templates/inventory/category_list_new.html:279
Icon,نماد,,templates/inventory/category_list_new.html:291
Subcats,زیرگربه ها,,templates/inventory/category_list_new.html:300
No subcategories,بدون زیرمجموعه,,templates/inventory/category_list_new.html:382
This category doesn't have any subcategories yet.,این دسته هنوز هیچ زیرمجموعه ای ندارد.,,templates/inventory/category_list_new.html:384
Add First Subcategory,اضافه کردن اولین زیر مجموعه,,templates/inventory/category_list_new.html:392
Choose a category from the sidebar to view its details and subcategories.,یک دسته را از نوار کناری انتخاب کنید تا جزئیات و زیرمجموعه های آن را مشاهده کنید.,,templates/inventory/category_list_new.html:411
Create First Category,ایجاد دسته اول,,templates/inventory/category_list_new.html:421
Complete all required fields to add inventory item,برای افزودن آیتم موجودی، تمام فیلدهای لازم را تکمیل کنید,,templates/inventory/inventory_form.html:16
Barcode,بارکد,,templates/inventory/inventory_form.html:274
Try adjusting your filters or search terms.,سعی کنید فیلترها یا عبارات جستجوی خود را تنظیم کنید.,,templates/inventory/inventory_list.html:500
Dead Stock Items,اقلام سهام مرده,,templates/inventory/reports.html:134
Turnover Ratio,نسبت گردش مالی,,templates/inventory/reports.html:159
left,سمت چپ,,templates/inventory/reports.html:226
Min:,حداقل:,,templates/inventory/reports.html:229
All items are well stocked!,همه اقلام به خوبی انبار شده اند!,,templates/inventory/reports.html:241
No items are out of stock!,هیچ کالایی در انبار موجود نیست!,,templates/inventory/reports.html:285
Dead Stock Analysis,تجزیه و تحلیل سهام مرده,,templates/inventory/reports.html:297
Items with no sales in 90 days,اقلام بدون فروش در 90 روز,,templates/inventory/reports.html:300
each,هر کدام,,templates/inventory/reports.html:325
No dead stock detected!,هیچ سهام مرده ای شناسایی نشد!,,templates/inventory/reports.html:337
Inventory Valuation Report,گزارش ارزش گذاری موجودی,,templates/inventory/reports.html:348
Current inventory value breakdown,تفکیک ارزش موجودی فعلی,,templates/inventory/reports.html:351
Cost price basis,مبنای قیمت تمام شده,,templates/inventory/reports.html:362
Avg Value/Item,میانگین مقدار/مورد,,templates/inventory/reports.html:382
Add custom variables to personalize your campaign. Use these in your templates as {{ variable_name }}.,متغیرهای سفارشی را برای شخصی سازی کمپین خود اضافه کنید. از اینها در الگوهای خود به عنوان {{ variable_name }} استفاده کنید.,,templates/notifications/bulk_campaign.html:113
Are you sure you want to send this campaign? This action cannot be undone.,آیا مطمئن هستید که می خواهید این کمپین را ارسال کنید؟ این عمل قابل بازگشت نیست.,,templates/notifications/bulk_campaign.html:237
"
                        Showing %(start)s to %(end)s of %(total)s communications
                    ",نمایش %(start)s تا %(end)s از %(total)s ارتباطات,,templates/notifications/communication_log.html:195
"
                        Showing %(start)s to %(end)s of %(total)s segments
                    ",نمایش %(start)s تا %(end)s از %(total)s بخش,,templates/notifications/customer_segments.html:101
"
                                    %(counter)s unread notification
                                ",%(counter)s اعلان خوانده نشده,,templates/notifications/notification_center.html:81
%(count)s customers match this criteria,%(count)s مشتریان با این معیار مطابقت دارند,,templates/notifications/partials/segment_preview.html:11
"During quiet hours, you'll only receive critical notifications (errors and system alerts)",در ساعات خلوت، فقط اعلان‌های مهم (خطاها و هشدارهای سیستم) را دریافت خواهید کرد.,,templates/notifications/preferences.html:194
